Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
Emergency Medical Services Agency	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	2	2	1	0	0	1	1	1	0	0	0	0	21
"Emergency Preparedness - Programs, Forums"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5
Emergency Preparedness - Requests for brochures for sf72.org	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	12
Emergency Response Plan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13
Emergency Ride Home Program	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	4
Emergency Shelter System Helpline for adults without custody of minor children	0	8	7	3	3	3	3	4	2	4	2	1	0	1	2	2	2	3	0	2	2	1	0	0	5	0	0	0	2	2	0	2	1	3	0	0	3	0	0	0	0	0	0	0	0	73
Emergency Water Storage Guidelines for the Home	0	0	4	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	1	3	0	5	1	1	4	0	34
Employee Handbook	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Employee Information and Documents	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6
Employee Recognition Nomination Form	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Employee unions and organizations	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	4	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	2	2	0	0	0	0	0	0	0	0	23
Employment Rules - Eligible Lists	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Employment Rules - Layoffs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Employment Rules - Medical Examinations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Employment Rules - Persons with Disabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
Energy Conservation Tips - Conserving energy at work	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12
Enterovirus (EV-D68) Fact Sheet	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Enterprise Zone Tax Credits for San Francisco Businesses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	5	1	0	2	3	1	0	1	8	1	0	1	4	0	0	1	2	4	1	7	9	1	0	0	0	0	0	0	56
Entertainment Commission - Good Neighbor Policy	0	0	0	0	1	1	1	5	0	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	1	2	0	1	2	0	0	0	26
Entertainment Commission - Letter of Intent	0	1	0	0	0	1	3	0	0	0	0	1	1	0	2	0	3	2	2	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	2	2	1	0	0	0	1	0	28
Entertainment Commission - Loudspeaker Permit Form Page 1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	1	1	0	0	0	1	0	2	1	0	0	1	0	0	21
Entertainment Commission - Loudspeaker Permit Form Page 2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	1	3	3	4	1	1	2	2	0	1	1	0	1	1	2	3	3	0	1	1	6	3	3	1	3	6	3	3	0	68
Entertainment Commission - Meeting Agendas and Minutes	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	8
Entertainment Commission - Permit Fee Matrix	0	1	0	0	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	1	3	0	2	0	0	2	0	0	0	21
Entertainment Commission - Public Information Request	0	0	0	0	0	0	2	3	0	0	0	0	1	0	1	0	0	3	1	0	0	0	1	1	0	1	0	0	1	2	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	23
Entertainment Extended Hours Amendment Permit Application	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Entertainment Extended Hours Application - Permits	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	8
Entertainment Extended Hours Permit Application	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	1	0	0	1	0	0	0	13
Entertainment Extended Hours Permit Fees	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4
Environment - Authorization to Shop in the Virtual Warehouse	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	7
Environment - Turning in Surplus Items	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Environmental Information - SFO Airport	0	0	0	1	2	1	1	2	0	0	0	0	3	1	1	0	0	2	1	1	0	2	1	0	1	1	3	0	0	0	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	31
Environmental Restoration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Equal Benefits Bereavement Leave - Sample Policy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Equal Benefits Family Leave - Sample Policy	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5
Equal Benefits Health Insurance Fact Sheet	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11
Equal Benefits Pension Plans Fact Sheet	0	1	0	3	0	0	0	0	0	2	3	0	0	1	1	0	0	0	2	0	1	1	1	0	1	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
Equal Benefits Statistics	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Equal Rights	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Escape Tax Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	27	37	12	19	15	38	44	36	29	37	27	9	32	10	5	2	17	47	10	27	23	16	15	35	80	14	0	0	0	684
Ethics Commission - Complaint Process	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11
Ethics Commission - Directions and Transportation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ethics Commission - FAQs	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	5
Ethics Commission - Jobs and Internships	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Ethics Commission - Pertinent Locals Laws	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Ethics Commission - Public Records	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Ethics Commission By-Laws	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ethics Commission Members	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Ethnic-Jazz Dance Class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Euthanasia for  Animals	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Events at San Francisco Public Library	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	8
EVERETT MIDDLE SCHOOL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	8
Exam Schedules	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
EXCELSIOR (pre kindergarten and school age) at GUADALUPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	6
Exploratorium	0	0	0	2	2	0	0	0	3	2	1	1	0	4	3	1	2	2	1	2	1	0	1	2	7	1	4	4	2	8	1	3	4	8	6	22	4	3	7	2	0	0	1	3	0	120
Export inquiries - SFO Airport	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12
Extended Time Limits on SFpark Meters (4 hour meters)	0	0	0	0	0	4	6	9	0	3	4	6	2	1	3	2	6	3	5	3	1	1	4	9	8	4	4	3	5	2	4	3	4	4	6	5	7	1	3	1	3	1	0	1	0	141
Facade Improvement Program (SF Shines)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAIRMOUNT ELEM SCHOOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Family Appreciation Day 2009 (Jan. 11, 2009)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Family Court Services	0	2	1	1	2	2	2	3	2	0	3	2	3	0	5	2	0	4	1	5	3	2	8	3	7	3	3	2	1	3	3	4	2	6	1	0	2	1	1	0	1	1	0	0	0	97
"Family Find - parent suggested collection of retaliers, service businesses, and restaurants that cater to families with children"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Family Independence Initiative (FII)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Family law - FAQ	0	3	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	18
Family Law Facilitator	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	2	0	0	18
Family Law Judicial Officer Schedule	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
Family Resource Center	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	14
Family Service Agency	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	1	2	1	0	1	0	2	2	0	0	1	2	2	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	28
Family Violence Council	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
FCS (Family and Child Services) Ombudsman	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	12
Federal Probation Information - U.S. District Court	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	0	0	11
Fee for Plumbing Permits	0	0	1	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	3	0	1	1	0	0	0	0	0	0	0	0	17
Feral Cat Colony	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	2	1	0	1	0	0	0	1	0	0	0	16
Field House - James Rolph Jr.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
File a Bad Check Report	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	5
File Review Request Form to search public records for Hazardous Materials Unified Program Agency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9
Filing Deadlines - Ethics Commission	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Film Commission - Commissioners	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Film Commission - Film Complaints	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	1	2	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	17
"Film Commission - Filming Resources, including City equipment rentals, e.g park benches, street signs, parking meters."	0	3	0	0	1	0	0	1	1	1	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	16
Film Commission - Information on use of your property	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Film Commission - List of SF-based films	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	7
Film Commission - Meetings and Committees	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4
Film Commission - Prop G	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Financial Assistance for Remodeling / Home Repair for Seniors or Low Income Families	0	0	1	0	0	0	0	0	4	1	0	1	1	0	1	1	0	3	2	0	2	0	0	1	1	1	3	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	29
Find a Restaurant Score	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
Find Information on Superior Court Web Site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4
Fire - CPR and First Aid Training	0	0	2	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	19
Fire - Flame Act Safety Sheet (pdf)	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Fire / Police Call Box - Maintenance/Repair	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	2	2	3	4	2	12	19	13	8	12	2	7	5	8	9	3	8	17	6	14	4	9	7	3	5	4	2	8	1	208
Fire Commission - Agendas	0	0	0	1	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Fire Commission - Firefighters Memorial Wall	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fire Commission - General Information	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7
Fire Commission - The Commissioners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6
Fire Department - Employee HR questions or issues	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	11
Fire Department - Equal Access to Services Complaint Forms	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Fire Department - General Administrative Contact Phone Numbers	0	0	0	0	0	1	0	1	2	3	1	3	2	3	3	3	3	2	2	5	2	0	2	1	5	1	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	53
Fire Department - General Information	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	2	0	0	1	1	1	2	0	21	6	3	6	8	4	8	5	6	4	0	0	1	0	0	2	0	0	87
"Fire Department - HIPAA Compliance, Privacy Officer"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fire Department - Inspections	0	0	0	2	4	3	1	1	1	0	2	0	1	5	3	1	1	2	2	1	2	4	0	2	8	1	1	0	1	12	8	5	2	7	3	5	3	2	2	1	3	2	0	4	0	108
Fire Department - SFFD Museum - History of the Fire Department	0	0	3	0	1	1	1	1	2	2	1	0	2	1	0	0	0	0	0	0	2	0	0	2	1	1	0	2	2	2	0	1	1	2	1	2	0	0	2	1	1	0	0	0	0	38
Fire Department - Subpoena Services	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11
Fire Department - Toy Program	0	0	0	9	3	0	0	0	0	0	0	0	0	1	0	16	3	0	1	0	0	0	0	0	0	0	0	19	8	0	0	0	0	1	0	0	0	0	0	5	2	0	0	0	0	68
Fire Department - Training	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	3	1	0	2	2	1	1	0	2	2	2	1	2	1	1	1	1	1	1	1	4	0	0	0	0	0	0	0	0	0	37
Fire Department - Treasure Island Training Center	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	15
Fire in Progress	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Fireworks Facts Sheet	0	0	0	7	1	0	0	0	18	4	1	0	1	0	1	3	0	1	0	0	9	0	0	0	0	0	1	2	0	3	0	0	14	6	0	1	0	0	0	0	0	0	0	0	0	73
First 5 SF Children's Health Programs	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
First 5 SF Early Care and Education Programs	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
First 5 SF Family Support Programs	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	10
First 5 SF Funding Allocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
First 5 SF Funding Opportunities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
First 5 SF General Information (news and upcoming events)	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	5	0	1	0	0	0	0	2	1	0	0	1	0	2	2	1	1	2	2	0	1	1	1	0	0	0	27
First 5 SF Preschool for All - Information for Families	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10
First 5 SF SF Parent Survival Guide	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
First 5 SF Systems Change Program	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
First Source Hiring Services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
Fishing Citations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fleet Management - General Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	4
Fleet Management - Public Information Requests	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0	14
Floodplain Management Program (Flood Maps)	0	0	0	1	2	1	1	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Fog Horns in the Bay	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5
Food Permit - All Matters	0	3	2	1	3	6	4	7	3	4	6	2	4	4	8	2	0	1	5	2	6	13	7	4	4	1	3	3	3	6	7	8	6	5	6	7	7	3	7	3	2	5	1	4	1	189
Food Safety - All Matters	0	1	0	1	1	0	0	2	0	0	3	1	2	3	2	1	1	5	2	5	3	1	3	4	1	2	2	1	1	2	4	0	4	0	0	2	0	2	1	0	0	0	0	1	0	64
Food Safety Certification and Classes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	1	0	0	0	0	9
Food Safety Health Codes and Regulations	0	2	0	1	3	2	0	1	0	0	0	0	1	1	3	2	0	2	4	1	3	1	1	0	2	1	1	2	0	2	2	3	4	5	0	2	1	0	3	1	1	0	0	0	0	58
